French,English
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
genre,kind
mois,month
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
revoir,meet again
aucune,any
parle,speak
savais,knew
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
loin,far
fin,end
chérie,sweetheart
plutôt,rather
aura,will have
jouer,to play
bureau,office
